Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-05-25;2.731,5;2.738;2.714,5;2.721,75;;
2018-05-24;2.727,25;2.734;2.707;2.728;;
2018-05-23;2.725,75;2.733,25;2.705,25;2.730,75;;
2018-05-22;2.731,75;2.742;2.722,25;2.726;;
2018-05-21;2.730,25;2.739,5;2.726;2.733;;
2018-05-18;2.722;2.726,5;2.709;2.712;;
2018-05-17;2.724,75;2.732;2.711;2.719;;
2018-05-16;2.709,75;2.728;2.705,25;2.722,5;;
2018-05-15;2.729,75;2.731,75;2.702;2.710,75;;
2018-05-14;2.737,25;2.742,25;2.725,75;2.730,25;;
2018-05-11;2.722;2.732,5;2.717,5;2.730,25;;
2018-05-10;2.697,75;2.726,25;2.697,75;2.717,75;;
2018-05-09;2.671,25;2.702,25;2.669,5;2.698,5;;
2018-05-08;2.669,75;2.676,25;2.655,25;2.672,75;;
2018-05-07;2.670,75;2.683,75;2.665;2.671;;
2018-05-04;2.632,5;2.671,25;2.617;2.666;;
2018-05-03;2.630,75;2.638,25;2.594,5;2.634,5;;
2018-05-02;2.651;2.660,75;2.627,25;2.627,75;;
2018-05-01;2.650,5;2.658,75;2.625;2.657,5;;
2018-04-30;2.673,75;2.683,75;2.646,75;2.647;;
2018-04-28;2.673;2.673;2.673;2.673;;
2018-04-27;2.671,5;2.677;2.659,5;2.673;;
2018-04-26;2.655,5;2.679;2.641,5;2.674,5;;
2018-04-25;2.640,25;2.649,25;2.613,5;2.647,75;;
2018-04-24;2.674;2.689,5;2.617;2.636,5;;
2018-04-23;2.677;2.682,75;2.658,25;2.672,75;;
2018-04-21;2.671,5;2.671,5;2.671,5;2.671,5;;
2018-04-20;2.691,5;2.698;2.660,5;2.671,5;;
2018-04-19;2.713,25;2.713,5;2.682;2.693,5;;
2018-04-18;2.712;2.718,75;2.704,5;2.709,75;;
2018-04-17;2.685,5;2.713,25;2.681,5;2.705,75;;
2018-04-16;2.672,25;2.687,25;2.661,5;2.680,25;;
2018-04-13;2.657;2.679,75;2.645,75;2.659,25;;
2018-04-12;2.649,5;2.675,25;2.640,5;2.665,5;;
2018-04-11;2.641;2.661,25;2.626,5;2.642,5;;
2018-04-10;2.618,5;2.665,75;2.617,5;2.654,25;;
2018-04-09;2.616,25;2.654;2.610,5;2.618,5;;
2018-04-07;2.605,5;2.605,5;2.605,5;2.605,5;;
2018-04-06;2.631,5;2.656,75;2.585,75;2.605,5;;
2018-04-05;2.648,25;2.672,25;2.646,5;2.662,5;;
2018-04-04;2.607;2.650,5;2.562;2.645,5;;
2018-04-03;2.584,75;2.620,25;2.575,75;2.614,25;;
2018-04-02;2.636,75;2.640,25;2.552,25;2.581,5;;
2018-03-30;2.636,5;2.636,5;2.636,5;2.636,5;;
2018-03-29;2.610,25;2.658,75;2.600,5;2.636,25;;
2018-03-28;2.619,5;2.632;2.593,5;2.607;;
2018-03-27;2.666,75;2.679;2.596,5;2.612,25;;
2018-03-26;2.605;2.661,75;2.601,75;2.658,75;;
2018-03-25;2.594,75;2.594,75;2.594,75;2.594,75;;
2018-03-23;2.626,5;2.656,5;2.584,75;2.594,75;;
2018-03-22;2.721,25;2.721,25;2.638,5;2.641,75;;
2018-03-21;2.722,5;2.739;2.710,25;2.716;;
2018-03-20;2.721,5;2.726,75;2.711;2.722,25;;
2018-03-19;2.745,75;2.747,75;2.694,5;2.716,25;;
2018-03-17;2.751,75;2.751,75;2.751,75;2.751,75;;
2018-03-16;2.748,5;2.762,25;2.746,5;2.751,75;;
2018-03-15;2.745,75;2.763,25;2.742;2.753,75;;
2018-03-14;2.762,75;2.779,25;2.744,75;2.752,25;;
2018-03-13;2.784,5;2.802,75;2.759;2.760;;
2018-03-12;2.791,75;2.800,75;2.779,75;2.783,75;;
2018-03-09;2.742,75;2.786,25;2.732,75;2.783,75;;
2018-03-08;2.725,75;2.740,5;2.721,5;2.738,5;;
2018-03-07;2.699;2.730,75;2.685,75;2.723;;
2018-03-06;2.722,5;2.734,75;2.711,25;2.725;;
2018-03-05;2.688,75;2.727,75;2.665,75;2.720;;
2018-03-02;2.679,5;2.696;2.647,75;2.690,25;;
2018-03-01;2.710;2.730,75;2.659,25;2.680;;
2018-02-28;2.748,25;2.762,25;2.713,5;2.719;;
2018-02-27;2.786,25;2.790;2.743;2.747,75;;
2018-02-26;2.746,75;2.786,75;2.745;2.785,25;;
2018-02-23;2.716,75;2.750,75;2.714;2.746,5;;
2018-02-22;2.687;2.731,5;2.684;2.714,75;;
2018-02-21;2.719,25;2.747,25;2.695;2.699,5;;
2018-02-20;2.728,6;2.738,25;2.707,5;2.716;;
2018-02-19;2.744,75;2.747,5;2.720,25;2.729,25;;
2018-02-17;2.737;2.737;2.737;2.737;;
2018-02-16;2.736;2.755;2.723;2.737;;
2018-02-15;2.704,75;2.737;2.690,25;2.735;;
2018-02-14;2.666,75;2.702,5;2.628,5;2.697,25;;
2018-02-13;2.656,75;2.669,25;2.637;2.664,75;;
2018-02-12;2.633,75;2.673,25;2.622,5;2.654,25;;
2018-02-09;2.604;2.638,25;2.535,5;2.623;;
2018-02-08;2.658,75;2.688,5;2.580,5;2.598,5;;
2018-02-07;2.689;2.725,5;2.663,25;2.670,5;;
2018-02-06;2.592,25;2.701,5;2.531;2.686;;
2018-02-05;2.746,5;2.763,5;2.602,25;2.621,75;;
2018-02-02;2.814,25;2.820,5;2.755,75;2.757;;
2018-02-01;2.836;2.837;2.809,75;2.823,25;;
2018-01-31;2.829,5;2.839,25;2.813;2.826;;
2018-01-30;2.851,5;2.854,5;2.818,75;2.823,25;;
2018-01-29;2.877,25;2.877,5;2.851,5;2.852,5;;
2018-01-27;2.874,25;2.874,25;2.874,25;2.874,25;;
2018-01-26;2.845,25;2.875,25;2.844,25;2.874,25;;
2018-01-25;2.840,75;2.853;2.831,25;2.842,25;;
2018-01-24;2.839,25;2.854;2.824,75;2.839,75;;
2018-01-23;2.835,5;2.841,75;2.827,75;2.837;;
2018-01-22;2.807;2.836,25;2.804,5;2.834,5;;
2018-01-20;2.811,25;2.811,25;2.811,25;2.811,25;;
2018-01-19;2.796,25;2.813,25;2.790,75;2.811,25;;
2018-01-18;2.803;2.806,25;2.792,5;2.795,75;;
2018-01-17;2.783,5;2.807,75;2.780,75;2.802,25;;
2018-01-16;2.794;2.808,25;2.769,25;2.783,25;;
