Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 45.10129046211521 22.896690937928053 32.00201859995674
Aug 01 3053 43.03963314772355 26.334752702260072 30.62561415001638
Aug 02 2921 42.96473810338925 24.614857925368025 32.42040397124272
Aug 03 1360 44.11764705882353 20.588235294117645 35.294117647058826
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 47.39031770045386 20.99092284417549 31.61875945537065
Aug 07 2937 46.10146407899217 22.47191011235955 31.42662580864828
Aug 08 584 47.6027397260274 15.924657534246576 36.47260273972603
Aug 09 4230 44.94089834515366 20.756501182033098 34.30260047281324
Aug 10 4069 45.170803637257315 23.052347014008355 31.77684934873433
Aug 11 3040 45.493421052631575 21.480263157894736 33.026315789473685
Aug 12 3606 45.479755962285076 22.074320576816415 32.4459234608985
Aug 13 2364 46.02368866328257 20.38917089678511 33.58714043993232
