Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 45.20636984075398 28.599285017874553 26.194345141371468
Jan 15 9439 46.11717342938871 27.66182858353639 26.220997987074902
Jan 16 7419 44.34559913735004 28.629195309340883 27.02520555330907
Jan 17 7861 44.48543442310139 29.41101641012594 26.103549166772677
Jan 18 12190 42.89581624282198 29.876948318293685 27.227235438884335
Jan 19 9070 45.38037486218302 28.577728776185225 26.041896361631757
Jan 20 6640 43.644578313253014 29.156626506024097 27.19879518072289
Jan 21 7209 42.77985851019559 29.504785684560964 27.715355805243448
Jan 22 7298 42.64181967662373 28.77500685119211 28.58317347218416
Jan 23 8055 44.0471756672874 26.85288640595903 29.099937926753572
Jan 24 7336 43.42966194111232 28.898582333696837 27.671755725190838
Jan 25 7451 45.01409206817877 27.607032613072068 27.378875318749163
Jan 26 7329 44.603629417383 29.922226770364308 25.4741438122527
Jan 27 7089 45.71871914233319 28.861616589081674 25.41966426858513
Jan 28 7446 44.60112812248187 28.740263228579106 26.658608648939026
Jan 29 7371 43.9696106362773 29.683896350563018 26.346493013159677
Jan 30 9525 42.46719160104987 29.93175853018373 27.601049868766403
Jan 31 9732 42.457870941224826 29.942457870941226 27.599671187833952
Feb 01 7837 45.642465229041726 29.28416485900217 25.073369911956107
Feb 02 6997 46.034014577676146 27.55466628555095 26.411319136772903
Feb 03 6594 46.81528662420382 27.81316348195329 25.371549893842886
Feb 04 7292 40.40043883708173 30.97915523861766 28.620405924300602
Feb 05 7656 42.358934169278996 28.278474399164054 29.36259143155695
Feb 06 8413 47.58112445025556 27.671460834422916 24.747414715321526
Feb 07 8357 44.477683379203064 29.879143233217665 25.643173387579278
Feb 08 7770 45.26383526383526 28.674388674388673 26.061776061776058
Feb 09 6979 44.662559105889095 27.711706548216075 27.625734345894827
Feb 10 6032 44.64522546419098 28.249336870026525 27.105437665782496
Feb 11 7070 44.05940594059406 29.985855728429982 25.954738330975957
Feb 12 6882 44.4492879976751 28.01511188607963 27.53560011624528
Feb 13 7838 44.947690737433014 27.392191885685126 27.66011737688186
Feb 14 13653 50.86794111184355 24.258404746209624 24.873654141946826
Feb 15 8307 47.28542193330926 27.302275189599136 25.41230287709161
Feb 16 8669 44.15734225400853 28.919137155381243 26.923520590610224
Feb 17 6761 44.60878568259133 29.09332938914362 26.29788492826505
Feb 18 5920 43.90202702702703 29.070945945945947 27.027027027027028
Feb 19 6424 45.85927770859278 28.876089663760894 25.26463262764633
