Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 30.614234644133898 20.27949301267468 49.10627234319142
Jan 15 9439 32.069075113889184 20.171628350460853 47.759296535649966
Jan 16 7419 30.637552230758864 20.19140045828279 49.17104731095835
Jan 17 7861 30.619514056735785 21.791120722554382 47.58936522070984
Jan 18 12190 27.56357670221493 21.73913043478261 50.69729286300246
Jan 19 9070 30.937155457552368 19.96692392502756 49.09592061742006
Jan 20 6640 30.195783132530117 20.22590361445783 49.57831325301205
Jan 21 7209 29.629629629629626 20.002774309890412 50.367596060479954
Jan 22 7298 28.432447245820775 18.78596875856399 52.781583995615236
Jan 23 8055 29.335816263190566 18.57231533209187 52.091868404717566
Jan 24 7336 29.37568157033806 20.460741548527807 50.163576881134134
Jan 25 7451 31.51254865118776 19.218896792376864 49.268554556435376
Jan 26 7329 31.573202346841317 20.985127575385455 47.44167007777323
Jan 27 7089 31.979122584285513 20.242629425871066 47.77824798984342
Jan 28 7446 31.80230996508192 19.742143432715554 48.455546602202524
Jan 29 7371 30.47076380409714 21.80165513498847 47.72758106091439
Jan 30 9525 29.249343832020998 21.133858267716533 49.61679790026247
Jan 31 9732 28.555281545417184 21.10563090834361 50.33908754623921
Feb 01 7837 31.23644251626898 20.32665560801327 48.436901875717744
Feb 02 6997 32.27097327426039 18.66514220380163 49.06388452193797
Feb 03 6594 32.21110100090992 19.305429178040644 48.48346982104944
Feb 04 7292 27.413603949533737 21.832144816236973 50.7542512342293
Feb 05 7656 28.39602925809822 19.82758620689655 51.77638453500523
Feb 06 8413 32.580530131938666 19.54118625936051 47.87828360870082
Feb 07 8357 30.668900323082447 20.90463084839057 48.42646882852698
Feb 08 7770 31.673101673101673 19.678249678249678 48.64864864864865
Feb 09 6979 31.179252041839806 18.684625304484882 50.13612265367531
Feb 10 6032 30.62002652519894 19.49602122015915 49.88395225464191
Feb 11 7070 29.84441301272984 20.693069306930692 49.46251768033946
Feb 12 6882 30.90671316477768 20.02324905550712 49.0700377797152
Feb 13 7838 31.05384026537382 18.614442459811176 50.331717274815006
Feb 14 13653 36.91496374423204 17.065846334139017 46.01918992162894
Feb 15 8307 34.019501625135426 19.57385337667028 46.406644998194295
Feb 16 8669 30.868612296689353 20.521398085130926 48.609989618179725
Feb 17 6761 31.56337819849135 20.854903120840113 47.58171868066854
Feb 18 5920 30.608108108108105 20.574324324324326 48.817567567567565
Feb 19 6424 31.89601494396015 19.42714819427148 48.67683686176837
