Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 30.9530675510057 14.941244322687622 54.10568812630668
Aug 01 3053 30.756632820176875 17.490992466426466 51.752374713396655
Aug 02 2921 29.06538856555974 16.535433070866144 54.399178363574116
Aug 03 1360 29.926470588235293 13.602941176470587 56.470588235294116
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 32.94251134644478 13.2375189107413 53.819969742813925
Aug 07 2937 32.618318011576434 15.457950289410963 51.9237316990126
Aug 08 584 29.10958904109589 8.39041095890411 62.5
Aug 09 4230 29.739952718676122 13.238770685579196 57.02127659574469
Aug 10 4069 31.06414352420742 14.647333497173754 54.28852297861882
Aug 11 3040 30.82236842105263 13.322368421052634 55.85526315789474
Aug 12 3606 31.724902939545203 15.058236272878537 53.21686078757626
Aug 13 2364 32.021996615905245 12.944162436548224 55.03384094754653
