Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 20.246993825154373 13.259668508287293 66.49333766655833
Jan 15 9439 21.305223010912172 13.454815128721261 65.23996186036656
Jan 16 7419 20.056611403154065 13.478905512872355 66.46448308397358
Jan 17 7861 20.391807658058774 13.344358224144512 66.26383411779672
Jan 18 12190 17.94093519278097 14.454470877768664 67.60459392945037
Jan 19 9070 20.573318632855568 13.340683572216097 66.08599779492833
Jan 20 6640 20.19578313253012 13.569277108433736 66.23493975903615
Jan 21 7209 18.754334859203773 12.761825495907894 68.48383964488833
Jan 22 7298 18.45711153740751 12.291038640723485 69.251849821869
Jan 23 8055 18.472998137802605 12.191185599006827 69.33581626319057
Jan 24 7336 19.3020719738277 13.604143947655398 67.0937840785169
Jan 25 7451 20.93678700845524 12.884176620587839 66.17903637095692
Jan 26 7329 20.75317232910356 14.31300313821804 64.9338245326784
Jan 27 7089 21.399351107349414 13.386937508816477 65.21371138383411
Jan 28 7446 21.34031694869729 13.658340048348105 65.0013430029546
Jan 29 7371 19.72595305928639 14.475647808981144 65.79839913173247
Jan 30 9525 18.6246719160105 14.246719160104988 67.12860892388451
Jan 31 9732 18.064118372379777 14.426633785450061 67.50924784217017
Feb 01 7837 21.156054612734465 13.193824167411 65.65012121985454
Feb 02 6997 21.609261111905102 12.676861512076604 65.71387737601829
Feb 03 6594 21.51956323930846 12.314225053078557 66.16621170761297
Feb 04 7292 18.56829402084476 14.385628085573233 67.04607789358201
Feb 05 7656 18.926332288401255 12.774294670846395 68.29937304075236
Feb 06 8413 21.6688458338286 12.326161892309521 66.00499227386189
Feb 07 8357 20.13880579155199 13.413904511188226 66.44728969725978
Feb 08 7770 20.386100386100388 12.921492921492922 66.69240669240669
Feb 09 6979 20.13182404355925 12.150737928069924 67.71743802837082
Feb 10 6032 20.05968169761273 12.38395225464191 67.55636604774536
Feb 11 7070 19.646393210749647 13.734087694483735 66.61951909476662
Feb 12 6882 20.44463818657367 13.164777680906713 66.39058413251962
Feb 13 7838 20.56647103853024 12.503189589180913 66.93033937228886
Feb 14 13653 26.192045704240822 11.433384604116311 62.37456969164287
Feb 15 8307 23.45010232334176 12.772360659684603 63.77753701697364
Feb 16 8669 20.809781981774137 13.473295651170838 65.71692236705502
Feb 17 6761 20.91406596657299 13.503919538529804 65.5820144948972
Feb 18 5920 19.949324324324323 13.22635135135135 66.82432432432432
Feb 19 6424 20.71917808219178 12.79576587795766 66.48505603985056
