Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 3.1865042174320526 0.6920914137408983 96.12140436882704
Aug 01 3053 3.013429413691451 0.8843760235833606 96.10219456272519
Aug 02 2921 2.9441971927422115 0.8558712769599451 96.19993153029785
Aug 03 1360 3.2352941176470593 0.4411764705882353 96.32352941176471
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 3.479576399394856 0.56732223903177 95.95310136157337
Aug 07 2937 3.302689819543752 0.7490636704119851 95.94824651004427
Aug 08 584 2.5684931506849313 0.17123287671232876 97.26027397260275
Aug 09 4230 3.120567375886525 0.5437352245862884 96.33569739952719
Aug 10 4069 2.6050626689604326 0.7372818874416318 96.65765544359793
Aug 11 3040 3.1907894736842106 0.625 96.1842105263158
Aug 12 3606 3.0227398779811425 0.7487520798668885 96.22850804215197
Aug 13 2364 3.4686971235194584 0.21150592216582065 96.31979695431471
