Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 1.0074748131296718 0.09749756256093597 98.89502762430939
Jan 15 9439 0.9534908358936328 0.12713211145248438 98.91937705265389
Jan 16 7419 0.9435233859010649 0.1213101496158512 98.93516646448307
Jan 17 7861 0.9795191451469278 0.16537336216766316 98.8551074926854
Jan 18 12190 0.7383100902378998 0.13125512715340443 99.1304347826087
Jan 19 9070 1.2127894156560088 0.11025358324145534 98.67695700110254
Jan 20 6640 1.4457831325301205 0.2560240963855422 98.29819277108433
Jan 21 7209 1.2345679012345678 0.19420169232903314 98.5712304064364
Jan 22 7298 0.9180597423951768 0.06851192107426692 99.01342833653055
Jan 23 8055 1.2911235257603972 0.09931719428926133 98.60955927995035
Jan 24 7336 1.1995637949836424 0.13631406761177753 98.66412213740458
Jan 25 7451 1.2481546101194472 0.120789155818011 98.63105623406254
Jan 26 7329 1.255287215172602 0.19102196752626552 98.55369081730113
Jan 27 7089 1.3824234729863167 0.16927634363097757 98.44830018338271
Jan 28 7446 1.2892828364222402 0.228310502283105 98.48240666129465
Jan 29 7371 1.1396011396011396 0.23063356396689727 98.62976529643196
Jan 30 9525 0.9238845144356956 0.06299212598425197 99.01312335958006
Jan 31 9732 0.9658857377722976 0.16440608302507193 98.86970817920263
Feb 01 7837 0.956998851601378 0.1913997703202756 98.85160137807834
Feb 02 6997 1.20051450621695 0.21437759039588394 98.58510790338717
Feb 03 6594 1.1980588413709434 0.10615711252653928 98.69578404610252
Feb 04 7292 0.9325287986834888 0.13713658804168952 98.93033461327482
Feb 05 7656 1.09717868338558 0.11755485893416928 98.78526645768025
Feb 06 8413 1.2124093664566742 0.09509093070248426 98.69249970284085
Feb 07 8357 1.1966016513102788 0.22735431374895296 98.57604403494076
Feb 08 7770 1.0424710424710426 0.2574002574002574 98.7001287001287
Feb 09 6979 1.0746525290156184 0.11462960309499928 98.81071786788938
Feb 10 6032 1.210212201591512 0.16578249336870027 98.62400530503979
Feb 11 7070 1.1315417256011315 0.08486562942008487 98.78359264497878
Feb 12 6882 1.1624527753560012 0.3051438535309503 98.53240337111305
Feb 13 7838 1.658586374075019 0.20413370757846389 98.13727991834652
Feb 14 13653 2.168021680216802 0.26367831245880025 97.5683000073244
Feb 15 8307 1.5649452269170578 0.20464668351992293 98.23040808956301
Feb 16 8669 1.2919598569615873 0.23070711731456917 98.47733302572385
Feb 17 6761 1.4051175861558942 0.17748853719863925 98.41739387664546
Feb 18 5920 1.0472972972972974 0.38851351351351354 98.5641891891892
Feb 19 6424 0.9495641344956414 0.12453300124533001 98.92590286425903
