Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 0.9804628361329393 0.16941821065532406 98.85011895321173
Aug 01 3053 1.1136586963642319 0.1965280052407468 98.68981329839502
Aug 02 2921 0.890106128038343 0.27387880862718245 98.83601506333447
Aug 03 1360 0.8823529411764706 0.29411764705882354 98.82352941176471
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 1.0968229954614221 0.07564296520423601 98.82753403933434
Aug 07 2937 0.8171603677221655 0.1361933946203609 99.04664623765747
Aug 08 584 0.5136986301369862 0.0 99.48630136986301
Aug 09 4230 1.0401891252955082 0.09456264775413711 98.86524822695036
Aug 10 4069 0.811010076185795 0.14745637748832638 99.04153354632588
Aug 11 3040 0.888157894736842 0.1644736842105263 98.94736842105263
Aug 12 3606 0.776483638380477 0.27731558513588467 98.94620077648364
Aug 13 2364 1.1421319796954315 0.04230118443316413 98.81556683587141
