Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 65.74585635359117 34.25414364640884 0.0
Jan 15 9439 65.98156584383939 34.01843415616061 0.0
Jan 16 7419 65.69618546973986 34.30381453026014 0.0
Jan 17 7861 64.7881948861468 35.2118051138532 0.0
Jan 18 12190 65.65217391304347 34.34782608695652 0.0
Jan 19 9070 66.51598676957 33.48401323042999 0.0
Jan 20 6640 66.03915662650603 33.96084337349398 0.0
Jan 21 7209 64.0588153696768 35.94118463032321 0.0
Jan 22 7298 65.31926555220609 34.68073444779392 0.0
Jan 23 8055 66.85288640595903 33.14711359404097 0.0
Jan 24 7336 65.64885496183206 34.35114503816794 0.0
Jan 25 7451 66.90377130586499 33.096228694135014 0.0
Jan 26 7329 63.66489289125392 36.33510710874608 0.0
Jan 27 7089 65.03032867823389 34.969671321766114 0.0
Jan 28 7446 65.01477303250067 34.98522696749933 0.0
Jan 29 7371 64.45529778863113 35.54470221136888 0.0
Jan 30 9525 64.13648293963254 35.86351706036746 0.0
Jan 31 9732 65.32059186189889 34.67940813810111 0.0
Feb 01 7837 65.72668112798264 34.273318872017356 0.0
Feb 02 6997 66.71430613119908 33.28569386880091 0.0
Feb 03 6594 66.7728237791932 33.22717622080679 0.0
Feb 04 7292 59.70927043335161 40.29072956664838 0.0
Feb 05 7656 63.83228840125392 36.16771159874608 0.0
Feb 06 8413 66.53987875906336 33.460121240936644 0.0
Feb 07 8357 64.7959794184516 35.2040205815484 0.0
Feb 08 7770 65.3925353925354 34.60746460746461 0.0
Feb 09 6979 66.47084109471271 33.52915890528729 0.0
Feb 10 6032 65.7659151193634 34.23408488063661 0.0
Feb 11 7070 64.38472418670439 35.61527581329562 0.0
Feb 12 6882 66.31793083405987 33.682069165940135 0.0
Feb 13 7838 66.95585608573616 33.04414391426384 0.0
Feb 14 13653 70.35083864352157 29.64916135647843 0.0
Feb 15 8307 67.30468279764055 32.69531720235946 0.0
Feb 16 8669 65.55542738493483 34.44457261506517 0.0
Feb 17 6761 65.37494453483212 34.625055465167875 0.0
Feb 18 5920 64.96621621621622 35.03378378378378 0.0
Feb 19 6424 65.30199252801992 34.69800747198008 0.0
