Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 72.72727272727273 27.27272727272727 0.0
Aug 01 3053 69.43989518506388 30.56010481493613 0.0
Aug 02 2921 71.44813420061624 28.551865799383773 0.0
Aug 03 1360 75.44117647058823 24.558823529411764 0.0
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 73.97881996974282 26.021180030257185 0.0
Aug 07 2937 73.1699012597889 26.8300987402111 0.0
Aug 08 584 79.96575342465754 20.034246575342465 0.0
Aug 09 4230 74.94089834515366 25.059101654846334 0.0
Aug 10 4069 72.64684197591545 27.35315802408454 0.0
Aug 11 3040 73.65131578947368 26.34868421052631 0.0
Aug 12 3606 73.5440931780366 26.455906821963392 0.0
Aug 13 2364 75.7191201353638 24.28087986463621 0.0
