Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 5.4273643158921026 1.0399740006499838 93.53266168345792
Jan 15 9439 4.93696366140481 1.2925097997669244 93.77052653882826
Jan 16 7419 4.744574740531069 1.1861436851327674 94.06928157433616
Jan 17 7861 4.503243862104058 1.6282915659585295 93.86846457193741
Jan 18 12190 3.814602132895816 1.3453650533223953 94.84003281378179
Jan 19 9070 4.696802646085998 1.4884233737596473 93.81477398015436
Jan 20 6640 5.045180722891566 1.9277108433734942 93.02710843373494
Jan 21 7209 4.438895824663615 1.5397419891801913 94.0213621861562
Jan 22 7298 4.110715264456015 1.2058098109070978 94.6834749246369
Jan 23 8055 4.196151458721291 1.4028553693358163 94.40099317194289
Jan 24 7336 4.3211559432933475 1.5539803707742639 94.1248636859324
Jan 25 7451 4.8584082673466655 1.087102402362099 94.05448933029123
Jan 26 7329 4.8847045981716475 1.5554645927138764 93.55983080911447
Jan 27 7089 4.880801241359854 1.3965298349555648 93.72266892368458
Jan 28 7446 4.5662100456621 1.2355627182379803 94.19822723609992
Jan 29 7371 4.409171075837742 1.2888346221679554 94.30199430199431
Jan 30 9525 4.031496062992126 1.3963254593175853 94.5721784776903
Jan 31 9732 3.9149198520345254 1.3871763255240444 94.69790382244143
Feb 01 7837 4.38943473267832 1.4418782697460764 94.1686869975756
Feb 02 6997 5.130770330141489 1.55781049021009 93.31141917964842
Feb 03 6594 5.3230209281164695 1.5165301789505612 93.16044889293296
Feb 04 7292 4.799780581459133 1.206801974766868 93.99341744377399
Feb 05 7656 4.545454545454546 1.3192267502612331 94.13531870428422
Feb 06 8413 4.516819208368002 1.4263639605372638 94.05681683109474
Feb 07 8357 4.630848390570779 1.7111403613736986 93.65801124805552
Feb 08 7770 4.813384813384813 1.8790218790218791 93.30759330759331
Feb 09 6979 5.244304341596217 1.4615274394612408 93.29416821894254
Feb 10 6032 4.310344827586207 1.3428381962864722 94.34681697612733
Feb 11 7070 4.413012729844413 1.2305516265912304 94.35643564356435
Feb 12 6882 4.838709677419355 1.5547805870386515 93.606509735542
Feb 13 7838 4.95024240877775 1.4034192396019394 93.6463383516203
Feb 14 13653 6.716472570131107 1.5527722844796015 91.73075514538928
Feb 15 8307 5.657878897315517 1.5047550258817866 92.8373660768027
Feb 16 8669 5.052485869189065 1.7187680239935401 93.2287461068174
Feb 17 6761 5.161958290193758 1.4938618547552138 93.34417985505102
Feb 18 5920 4.763513513513513 1.875 93.36148648648648
Feb 19 6424 4.919053549190536 1.4788293897882938 93.60211706102118
