Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All -1.0 -1.0 -1.0 -1.0
Jan 14 3077 0.8774780630484237 0.09749756256093597 99.02502437439064
Jan 15 9439 0.7945756965780273 0.11653776883144401 99.08888653459053
Jan 16 7419 0.8222132362852136 0.1213101496158512 99.05647661409893
Jan 17 7861 0.8904719501335707 0.16537336216766316 98.94415468769877
Jan 18 12190 0.6398687448728466 0.12305168170631665 99.23707957342084
Jan 19 9070 1.113561190738699 0.11025358324145534 98.77618522601985
Jan 20 6640 1.1746987951807228 0.24096385542168677 98.58433734939759
Jan 21 7209 1.0681093078096824 0.19420169232903314 98.73768899986129
Jan 22 7298 0.7947382844614962 0.054809536859413546 99.15045217867909
Jan 23 8055 1.1421477343265052 0.09931719428926133 98.75853507138423
Jan 24 7336 0.9950926935659761 0.13631406761177753 98.86859323882224
Jan 25 7451 1.127365454301436 0.09394712119178633 98.77868742450677
Jan 26 7329 1.0915541001500888 0.17737754127438943 98.73106835857553
Jan 27 7089 1.2272534913245874 0.16927634363097757 98.60347016504444
Jan 28 7446 0.8729519204942251 0.16116035455278002 98.96588772495299
Jan 29 7371 0.9361009361009361 0.20350020350020348 98.86039886039886
Jan 30 9525 0.7874015748031495 0.06299212598425197 99.1496062992126
Jan 31 9732 0.8220304151253596 0.15413070283600494 99.02383888203865
Feb 01 7837 0.8038790353451576 0.1913997703202756 99.00472119433456
Feb 02 6997 1.0433042732599687 0.20008575103615836 98.75660997570387
Feb 03 6594 1.0464058234758873 0.10615711252653928 98.84743706399757
Feb 04 7292 0.7953922106417993 0.10970927043335163 99.09489851892485
Feb 05 7656 0.9012539184952978 0.10449320794148381 98.99425287356321
Feb 06 8413 1.069772970402948 0.09509093070248426 98.83513609889457
Feb 07 8357 0.9931793705875315 0.22735431374895296 98.77946631566351
Feb 08 7770 0.9652509652509652 0.24453024453024455 98.79021879021879
Feb 09 6979 0.960022925920619 0.10030090270812438 98.93967617137126
Feb 10 6032 1.0941644562334218 0.14920424403183022 98.75663129973475
Feb 11 7070 0.9759547383309759 0.08486562942008487 98.93917963224894
Feb 12 6882 1.046207497820401 0.27608253414705025 98.67770996803254
Feb 13 7838 1.4672110232202094 0.19137535085480992 98.34141362592497
Feb 14 13653 1.8530725847799019 0.22705632461730024 97.9198710906028
Feb 15 8307 1.3362224629830264 0.19260864331286867 98.4711688937041
Feb 16 8669 1.0958588072442035 0.23070711731456917 98.67343407544122
Feb 17 6761 1.2424197603904747 0.17748853719863925 98.58009170241088
Feb 18 5920 0.8445945945945946 0.38851351351351354 98.7668918918919
Feb 19 6424 0.684931506849315 0.10896637608966377 99.20610211706102
