Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 0.8290678393771178 0.16220892509552304 99.00872323552736
Aug 01 3053 0.917130691123485 0.1965280052407468 98.88634130363577
Aug 02 2921 0.8216364258815475 0.23964395754878468 98.93871961656967
Aug 03 1360 0.5147058823529411 0.29411764705882354 99.19117647058823
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 0.9833585476550681 0.07564296520423601 98.9409984871407
Aug 07 2937 0.6128702757916241 0.1361933946203609 99.25093632958801
Aug 08 584 0.5136986301369862 0.0 99.48630136986301
Aug 09 4230 0.851063829787234 0.09456264775413711 99.05437352245863
Aug 10 4069 0.6881297616121897 0.14745637748832638 99.16441386089949
Aug 11 3040 0.7236842105263158 0.13157894736842105 99.14473684210526
Aug 12 3606 0.6932889628397115 0.27731558513588467 99.0293954520244
Aug 13 2364 1.0998307952622675 0.04230118443316413 98.85786802030458
