Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 8.4564919616466 3.0495277917958328 88.49398024655757
Aug 01 3053 7.730101539469375 4.02882410743531 88.24107435309531
Aug 02 2921 8.14789455665868 3.7658336186237586 88.08627182471757
Aug 03 1360 7.794117647058823 2.5 89.70588235294117
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 9.152798789712557 2.4205748865355523 88.42662632375189
Aug 07 2937 8.307797071842016 3.0643513789581207 88.62785154919986
Aug 08 584 7.534246575342466 1.7123287671232876 90.75342465753424
Aug 09 4230 7.872340425531915 2.3404255319148937 89.7872340425532
Aug 10 4069 8.257557139346277 2.8016711722782013 88.94077168837552
Aug 11 3040 8.125 2.9276315789473686 88.94736842105263
Aug 12 3606 8.236272878535774 3.105934553521908 88.65779256794232
Aug 13 2364 8.333333333333332 2.3688663282571913 89.29780033840947
