Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 13.369620070650997 5.803474875639824 80.82690505370917
Aug 01 3053 12.119226989846053 7.33704552898788 80.54372748116606
Aug 02 2921 12.66689489900719 6.915439917836358 80.41766518315644
Aug 03 1360 13.014705882352942 5.147058823529411 81.83823529411765
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 14.37216338880484 5.030257186081695 80.59757942511347
Aug 07 2937 13.278855975485188 5.856315968675519 80.86482805583928
Aug 08 584 11.472602739726028 3.2534246575342465 85.27397260273972
Aug 09 4230 13.026004728132387 4.278959810874705 82.6950354609929
Aug 10 4069 13.123617596461045 5.8982550995330545 80.9781273040059
Aug 11 3040 13.88157894736842 5.460526315789474 80.65789473684211
Aug 12 3606 13.227953410981696 5.906821963394343 80.86522462562395
Aug 13 2364 14.04399323181049 4.695431472081219 81.2605752961083
