Time_Stamp      Daily_Total        Daily_pos    Daily_neg    Daily_neutral
 All 27742 2.930574580059116 0.5623242736644799 96.50710114627641
Aug 01 3053 2.9151654110710776 0.7861120209629872 96.29872256796594
Aug 02 2921 2.7730229373502224 0.6846970215679562 96.54228004108182
Aug 03 1360 3.088235294117647 0.4411764705882353 96.47058823529412
Aug 04 -1.0 -1.0 -1.0 -1.0
Aug 05 -1.0 -1.0 -1.0 -1.0
Aug 06 2644 3.2904689863842664 0.41603630862329805 96.29349470499243
Aug 07 2937 2.9962546816479403 0.6128702757916241 96.39087504256042
Aug 08 584 2.2260273972602738 0.17123287671232876 97.6027397260274
Aug 09 4230 2.9078014184397163 0.3546099290780142 96.73758865248226
Aug 10 4069 2.334725976898501 0.6144015728680265 97.05087245023347
Aug 11 3040 2.9605263157894735 0.5921052631578948 96.44736842105263
Aug 12 3606 2.52357182473655 0.5823627287853578 96.8940654464781
Aug 13 2364 3.2571912013536384 0.21150592216582065 96.53130287648054
